filedFor,cik,ticker,no_shares,value
2009-09-30,0001059556,MCO,78438624,1604854000
2009-09-30,0001103982,MDLZ,276545000,7264836000
2009-09-30,0001121404,SNY,7807866,288500000
2009-09-30,0001131399,GSK,3021000,119360000
2009-09-30,0001156039,ELV,6788426,321500000
2009-09-30,0001170010,KMX,18000000,376200000
2009-12-31,0000010795,BDX,3000000,236580000
2009-12-31,0000021344,KO,400000000,22799998000
2009-12-31,0000034088,XOM,843600,57526000
2009-12-31,0000036104,USB-PA,138078852,3108154000
2009-12-31,0000036270,MTB-PJ,13430120,898342000
2009-12-31,0000039899,TGNA,4404400,65406000
2009-12-31,0000040545,GE,15555800,235360000
2009-12-31,0000060667,LOW,13000000,304070000
2009-12-31,0000070858,BAC-PQ,10000000,150600000
2009-12-31,0000080424,PG,175006822,10610662000
2009-12-31,0000086312,TRV,54672,2726000
2009-12-31,0000104169,WMT,78074284,4173072000
2009-12-31,0000104889,GHC,3455530,1519052000
2009-12-31,0000200406,JNJ,54264934,3495204000
2009-12-31,0000320187,NKE,15282000,1009682000
2009-12-31,0000320335,GL-PD,5647758,248220000
2009-12-31,0000354950,HD,5515796,159572000
2009-12-31,0000731766,UNH,2350000,71628000
2009-12-31,0000929008,WCC,11406174,3912318000
2009-12-31,0001013871,NRG,12000000,283320000
2009-12-31,0001059556,MCO,63629220,1705264000
2009-12-31,0001103982,MDLZ,276545000,7516492000
2009-12-31,0001121404,SNY,7807866,306612000
2009-12-31,0001131399,GSK,3021000,127638000
2009-12-31,0001156039,ELV,2687640,156662000
2009-12-31,0001170010,KMX,16000000,388000000
2010-03-31,0000010795,BDX,1744128,137315000
2010-03-31,0000021344,KO,200000000,11000000000
2010-03-31,0000034088,XOM,421800,28252000
2010-03-31,0000036104,USB-PA,69039426,1786740000
2010-03-31,0000036270,MTB-PJ,5563281,441613000
2010-03-31,0000039899,TGNA,1740231,28749000
2010-03-31,0000040545,GE,7777900,141558000
2010-03-31,0000060667,LOW,6500000,157560000
2010-03-31,0000070858,BAC-PQ,5000000,89250000
2010-03-31,0000080424,PG,79096784,5004454000
2010-03-31,0000104169,WMT,39037142,2170465000
2010-03-31,0000104889,GHC,1727765,767439000
2010-03-31,0000200406,JNJ,23891448,1557722000
2010-03-31,0000320187,NKE,7641000,561613000
2010-03-31,0000320335,GL-PD,2823879,151086000
2010-03-31,0000354950,HD,2757898,89218000
2010-03-31,0000929008,WCC,5703087,2198540000
2010-03-31,0001013871,NRG,6000000,125400000
2010-03-31,0001059556,MCO,30783876,915820000
2010-03-31,0001103982,MDLZ,106734745,3227659000
2010-03-31,0001121404,SNY,3903933,145851000
2010-03-31,0001131399,GSK,1510500,58184000
2010-03-31,0001170010,KMX,7725900,194075000
2010-06-30,0000010795,BDX,1889889,127794000
2010-06-30,0000021344,KO,200000000,10024000000
2010-06-30,0000034088,XOM,421800,24072000
2010-06-30,0000036104,USB-PA,69039426,1543031000
2010-06-30,0000036270,MTB-PJ,5363821,455657000
2010-06-30,0000039899,TGNA,1740231,23424000
2010-06-30,0000040545,GE,7777900,112157000
2010-06-30,0000060667,LOW,6500000,132730000
2010-06-30,0000070858,BAC-PQ,5000000,71850000
2010-06-30,0000080424,PG,78071036,4682699000
2010-06-30,0000104169,WMT,39037142,1876515000
2010-06-30,0000104889,GHC,1727765,709214000
2010-06-30,0000200406,JNJ,41319563,2440334000
2010-06-30,0000320187,NKE,7641000,516150000
2010-06-30,0000320335,GL-PD,2823879,139811000
2010-06-30,0000354950,HD,2757898,77414000
2010-06-30,0000798354,FI,4400000,200904000
2010-06-30,0000929008,WCC,5703087,1843238000
2010-06-30,0001013871,NRG,6000000,127260000
2010-06-30,0001059556,MCO,30783876,613214000
2010-06-30,0001103982,MDLZ,105214584,2946008000
2010-06-30,0001121404,SNY,4063675,122154000
2010-06-30,0001131399,GSK,1510500,51372000
2010-06-30,0001170010,KMX,7725900,153745000
2010-09-30,0000010795,BDX,3779778,280082000
2010-09-30,0000021344,KO,400000000,23408002000
2010-09-30,0000034088,XOM,843600,52126000
2010-09-30,0000036104,USB-PA,138078852,2985264000
2010-09-30,0000036270,MTB-PJ,10727642,877628000
2010-09-30,0000039899,TGNA,3480462,42566000
2010-09-30,0000040545,GE,15555800,252782000
2010-09-30,0000060667,LOW,13000000,289770000
2010-09-30,0000070858,BAC-PQ,10000000,131024000
2010-09-30,0000080424,PG,153532072,9207320000
2010-09-30,0000104169,WMT,78074284,4178536000
2010-09-30,0000104889,GHC,3455530,1380174000
2010-09-30,0000200406,JNJ,85249126,5282036000
2010-09-30,0000320187,NKE,7285858,583888000
2010-09-30,0000320335,GL-PD,5647758,300124000
2010-09-30,0000798354,FI,7821600,420958000
2010-09-30,0000929008,WCC,11406174,4085122000
2010-09-30,0001059556,MCO,57747512,1442534000
2010-09-30,0001103982,MDLZ,210429168,6493844000
2010-09-30,0001121404,SNY,8127350,270234000
2010-09-30,0001131399,GSK,3021000,119390000
2010-09-30,0001390777,BK,3985518,104140000
2010-12-31,0000021344,KO,200000000,13154000000
2010-12-31,0000034088,XOM,421800,30842000
2010-12-31,0000036104,USB-PA,69039426,1861994000
2010-12-31,0000036270,MTB-PJ,5363821,466920000
2010-12-31,0000039899,TGNA,1740231,26260000
2010-12-31,0000040545,GE,7777900,142258000
2010-12-31,0000080424,PG,76766036,4938358000
2010-12-31,0000104169,WMT,39037142,2105273000
2010-12-31,0000104889,GHC,1727765,759354000
2010-12-31,0000200406,JNJ,42624563,2636330000
2010-12-31,0000320335,GL-PD,2823879,168698000
2010-12-31,0000929008,WCC,5703087,2101074000
2010-12-31,0001059556,MCO,28415250,754141000
2010-12-31,0001103982,MDLZ,105214584,3315311000
2010-12-31,0001121404,SNY,4063675,130972000
2010-12-31,0001131399,GSK,1510500,59242000
2010-12-31,0001390777,BK,1793915,54176000
2011-03-31,0000021344,KO,200000000,13268001000
2011-03-31,0000034088,XOM,421800,35486000
2011-03-31,0000036104,USB-PA,69039426,1824712000
2011-03-31,0000036270,MTB-PJ,5363821,474537000
2011-03-31,0000039899,TGNA,1740231,26504000
2011-03-31,0000040545,GE,7777900,155947000
2011-03-31,0000080424,PG,76766036,4728788000
2011-03-31,0000104169,WMT,39037142,2031883000
2011-03-31,0000104889,GHC,1727765,756001000
2011-03-31,0000200406,JNJ,42624563,2525506000
2011-03-31,0000320335,GL-PD,2823879,187732000
2011-03-31,0000929008,WCC,5703087,2219641000
2011-03-31,0001059556,MCO,28415250,963561000
2011-03-31,0001103982,MDLZ,105214584,3299529000
2011-03-31,0001121404,SNY,4063675,143123000
2011-03-31,0001131399,GSK,1510500,58018000
2011-03-31,0001141391,MA,216000,54372000
2011-03-31,0001390777,BK,1793915,53584000
2011-06-30,0000021344,KO,200000000,13457999000
2011-06-30,0000029534,DG,1497800,50760000
2011-06-30,0000034088,XOM,421800,34326000
2011-06-30,0000036104,USB-PA,69039426,1761196000
2011-06-30,0000036270,MTB-PJ,5363821,471749000
2011-06-30,0000039899,TGNA,1740231,24920000
2011-06-30,0000040545,GE,7777900,146691000
2011-06-30,0000080424,PG,76766036,4880018000
2011-06-30,0000104169,WMT,39037142,2074433000
2011-06-30,0000104889,GHC,1727765,723848000
2011-06-30,0000200406,JNJ,42624563,2835387000
2011-06-30,0000320335,GL-PD,2823879,181124000
2011-06-30,0001059556,MCO,28415250,1089725000
2011-06-30,0001103982,MDLZ,99467624,3504245000
2011-06-30,0001121404,SNY,4063675,163238000
2011-06-30,0001131399,GSK,1510500,64800000
2011-06-30,0001141391,MA,405000,122043000
2011-06-30,0001390777,BK,1793915,45960000
2011-06-30,0001442145,VRSK,2101125,72741000
2011-09-30,0000021344,KO,400000000,27024000000
2011-09-30,0000029534,DG,8994494,339632000
2011-09-30,0000034088,XOM,843600,61270000
2011-09-30,0000036104,USB-PA,138078852,3250376000
2011-09-30,0000036270,MTB-PJ,10764080,752408000
2011-09-30,0000039899,TGNA,3480462,33168000
2011-09-30,0000040545,GE,15555800,236760000
2011-09-30,0000050863,INTC,18666000,398334000
2011-09-30,0000064803,CVS,11322000,380306000
2011-09-30,0000080424,PG,153532072,9700154000
2011-09-30,0000104169,WMT,78074284,4052054000
2011-09-30,0000104889,GHC,3455530,1129856000
2011-09-30,0000200406,JNJ,74893576,4769970000
2011-09-30,0000320335,GL-PD,8471636,295320000
2011-09-30,0001059556,MCO,56830500,1730490000
2011-09-30,0001103982,MDLZ,179493416,6027390000
2011-09-30,0001121404,SNY,8127350,266578000
2011-09-30,0001131399,GSK,3021000,124738000
2011-09-30,0001141391,MA,810000,256900000
2011-09-30,0001390777,BK,3587830,66698000
2011-09-30,0001403161,V,4583416,392890000
2011-09-30,0001442145,VRSK,6303375,219168000
2011-12-31,0000021344,KO,200000000,13994002000
2011-12-31,0000029534,DG,4497247,185017000
2011-12-31,0000036104,USB-PA,69039426,1867516000
2011-12-31,0000036270,MTB-PJ,5382040,410865000
2011-12-31,0000039899,TGNA,1740231,23267000
2011-12-31,0000040545,GE,7777900,139302000
2011-12-31,0000050863,INTC,11495000,278754000
2011-12-31,0000064803,CVS,7106500,289803000
2011-12-31,0000080424,PG,76766036,5121062000
2011-12-31,0000104169,WMT,39037142,2332860000
2011-12-31,0000104889,GHC,1727765,651039000
2011-12-31,0000200406,JNJ,29018127,1903009000
2011-12-31,0000320335,GL-PD,4235818,183791000
2011-12-31,0000927066,DVA,2684500,203512000
2011-12-31,0001059556,MCO,28415250,957025000
2011-12-31,0001103982,MDLZ,87034713,3251616000
2011-12-31,0001121404,SNY,4063675,148487000
2011-12-31,0001131399,GSK,1510500,68924000
2011-12-31,0001141391,MA,405000,150992000
2011-12-31,0001390777,BK,1793915,35717000
2011-12-31,0001403161,V,2865008,290884000
2011-12-31,0001442145,VRSK,3445029,138249000
2012-03-31,0000021344,KO,200000000,14802000000
2012-03-31,0000029534,DG,3637164,168037000
2012-03-31,0000036104,USB-PA,69039326,2187165000
2012-03-31,0000036270,MTB-PJ,5382040,467591000
2012-03-31,0000039899,TGNA,1740231,26678000
2012-03-31,0000040545,GE,7777900,156102000
2012-03-31,0000050863,INTC,7745000,217751000
2012-03-31,0000058361,LEE,1655125,2119000
2012-03-31,0000064803,CVS,7106500,318371000
2012-03-31,0000080424,PG,73254136,4923411000
2012-03-31,0000104169,WMT,46708142,2858538000
2012-03-31,0000104889,GHC,1727765,645441000
2012-03-31,0000200406,JNJ,29018127,1914036000
2012-03-31,0000320335,GL-PD,4235818,211156000
2012-03-31,0000927066,DVA,6000000,541020000
2012-03-31,0001059556,MCO,28415250,1196282000
2012-03-31,0001103982,MDLZ,78017165,2965432000
2012-03-31,0001121404,SNY,4063675,157467000
2012-03-31,0001131399,GSK,1510500,67837000
2012-03-31,0001141391,MA,405000,170319000
2012-03-31,0001390777,BK,5607466,135308000
2012-03-31,0001403161,V,2865008,338071000
2012-03-31,0001442145,VRSK,2230148,104750000
2012-03-31,0001466258,TT,636000,26299000
2012-03-31,0001467858,GM,10000000,256500000
2012-06-30,0000021344,KO,200000000,15637999000
2012-06-30,0000029534,DG,3320885,180623000
2012-06-30,0000039899,TGNA,1740231,25634000
2012-06-30,0000064803,CVS,5301916,247759000
2012-06-30,0000927066,DVA,9300000,913353000
2012-06-30,0001390777,BK,18719515,410893000
2012-09-30,0000021344,KO,400000000,15172000000
2012-09-30,0000039899,TGNA,1740231,30889000
2012-09-30,0000315189,DE,3978767,328129000
2012-09-30,0000927066,DVA,10197569,1056570000
2012-09-30,0001390777,BK,19633915,444119000
2012-12-31,0000021344,KO,400000000,14500000000
2012-12-31,0000039899,TGNA,1740231,31342000
2012-12-31,0000315189,DE,3978767,343845000
2012-12-31,0000927066,DVA,13607935,1504085000
2012-12-31,0001390777,BK,19633915,504592000
2013-03-31,0000021344,KO,400000000,16176000000
2013-03-31,0000315189,DE,3978767,342094000
2013-03-31,0000927066,DVA,14973906,1775756000
2013-03-31,0001390777,BK,18939115,530106000
