,Basic Materials_logp,Communication Services_logp,Consumer Cyclical_logp,Consumer Defensive_logp,Energy_logp,Financial Services_logp,Healthcare_logp,Industrials_logp,Real Estate_logp,Technology_logp,Utilities_logp
Basic Materials_w,0.5509545089780953,-5.7044047798964685,8.905733892041626,-5.992440925305018,-0.06707833004490647,0.1597700504351642,5.709042656718718,27.098280715894294,-7.994984616617015,-26.10466277255222,13.632850929825757
Communication Services_w,8.918662111667205,6.599751576423272,13.046190734123662,2.8572008950524603,-1.006833010312582,0.6883997609862398,16.192711060469183,-16.10264798275867,0.18267746375374322,-16.658216736722192,-5.324163851600742
Consumer Cyclical_w,0.9617341214009163,0.13299127764041982,0.13401068968223087,2.019330780432816,-7.864562957197911,7.932409719041421,5.400074175825147,5.9777214812441235,-7.839914032165333,-7.472799338908903,-2.5459368577130554
Consumer Defensive_w,-4.370811396733428,1.8982884822534212,-2.671257817671003,8.283249298488693,0.23940051021275555,0.13122207395662835,-7.225672323807328,0.48880165306515616,2.503514505808013,1.1716525696877091,-2.9931702958378485
Energy_w,-4.8341411896981725,-0.20650559457777623,-21.577452663863813,46.974432004475325,13.964595765543269,14.453371884222884,-8.033275627176486,-28.03617748813223,-4.272402352177562,18.67366875478024,-8.20095393262259
Financial Services_w,-1.1453207039492554,-0.3437327243970391,3.161265831498924,-7.212480864337503,0.45759477161537376,-0.48629530830978857,1.0931152268741444,5.691089513372793,-1.628701463534618,-3.1227031359949424,2.2249865871488357
Healthcare_w,22.218504744681752,6.923043863687219,-13.87849617733292,-3.8080890572262565,-6.293087820158179,-9.89671048521477,-2.371816235349899,1.658420476618364,1.339779101418919,-0.48519352063775245,5.595859148741658
Industrials_w,-12.816124494853138,-6.9272816359546905,12.458329304887876,2.524659117009649,0.8599506174208468,4.364461935522801,-3.168474264528397,20.33638898850434,-9.351071316891208,-19.00319402874832,17.142135786671837
Real Estate_w,7.398999468135393,-4.947303774685292,-1.8924306266040452,-28.940832259424763,-10.617732083019533,1.840941136051706,14.96925540022741,7.061756452508615,2.0065233689458126,-0.509110885394095,-2.979107786269711
Technology_w,9.46192613581885,-4.219865729859309,0.872972238170305,-10.135018394784433,-2.8861694656321326,-2.6380094560430623,10.837901048746373,-11.047615401824963,2.698816173475582,8.869329272335424,-0.4568477357681249
Utilities_w,-26.34438330544822,6.7950190393662435,1.4411345950671577,-6.570010594380976,13.213922001573,-16.549561310649224,-33.40286111799887,-13.126018408491827,22.355763167983664,44.641229822155054,-16.095651992576013
