cupsid,valuation,shares,filedFor,cik,ticker
74271810,43368,780000,2006-06-30,80424,PG
74271810,86736,1560000,2006-06-30,80424,PG
74271810,304994,5485500,2006-06-30,80424,PG
80105N10,23790,488500,2006-06-30,1121404,SNY
81211K10,35295,677700,2006-06-30,88204,SEE
81760N10,41299,3998000,2006-06-30,1052045,
86791410,178799,2344600,2006-06-30,750556,
86791410,65584,860000,2006-06-30,750556,
89102710,4709,77551,2006-06-30,320335,GL
89102710,27307,449728,2006-06-30,320335,GL
89102710,100607,1656900,2006-06-30,320335,GL
89102710,38843,639700,2006-06-30,320335,GL
90212410,275000,10000000,2006-06-30,833444,
90329340,474045,6500000,2006-06-30,757011,
91131210,117666,1429200,2006-06-30,809697,UPS
93114210,915148,18998300,2006-06-30,104169,WMT
93114210,45569,946000,2006-06-30,104169,WMT
93964010,697566,894304,2006-06-30,104889,
93964010,115684,148311,2006-06-30,104889,
93964010,505575,648165,2006-06-30,104889,
93964010,28849,36985,2006-06-30,104889,
94974610,1336462,19923410,2006-06-30,105598,WFC
94974610,68529,1021600,2006-06-30,105598,WFC
94974610,1100955,16412570,2006-06-30,105598,WFC
94974610,93510,1394000,2006-06-30,105598,WFC
94974610,171725,2560000,2006-06-30,105598,WFC
94974610,2576164,38404360,2006-06-30,105598,WFC
94974610,40574,604860,2006-06-30,105598,WFC
94974610,57018,850000,2006-06-30,105598,WFC
94974610,10062,150000,2006-06-30,105598,WFC
94974610,670800,10000000,2006-06-30,105598,WFC
94974610,268320,4000000,2006-06-30,105598,WFC
95081710,2172876,5703087,2006-06-30,105729,
20825C10,559273,9612800,2005-12-31,78214,COP
02581610,905195,17225400,2006-03-31,922812,AXP
02581610,420118,7994634,2006-03-31,922812,AXP
02581610,6319446,120255879,2006-03-31,922812,AXP
02581610,102110,1943100,2006-03-31,922812,AXP
02581610,73555,1399713,2006-03-31,922812,AXP
02581610,44133,839832,2006-03-31,922812,AXP
02581610,102585,1952142,2006-03-31,922812,AXP
02971210,474147,11062700,2006-03-31,836102,
03076C10,155235,3445080,2006-03-31,820027,A4S
03076C10,72048,1598926,2006-03-31,820027,A4S
03076C10,795362,17651175,2006-03-31,820027,A4S
03076C10,17511,388620,2006-03-31,820027,A4S
03076C10,12614,279942,2006-03-31,820027,A4S
03076C10,7569,167966,2006-03-31,820027,A4S
03076C10,17593,390428,2006-03-31,820027,A4S
03522910,1875644,43854200,2006-03-31,310569,
09367110,347723,16061100,2006-03-31,12659,HRB
19121610,16748,400000,2006-03-31,21344,KO
19121610,74361,1776000,2006-03-31,21344,KO
19121610,301698,7205600,2006-03-31,21344,KO
19121610,1680728,40141600,2006-03-31,21344,KO
19121610,5859522,139945600,2006-03-31,21344,KO
19121610,382658,9139200,2006-03-31,21344,KO
19121610,20098,480000,2006-03-31,21344,KO
19121610,38185,912000,2006-03-31,21344,KO
20030N20,290198,11110200,2006-03-31,22301,
20033410,14947,1206369,2006-03-31,1179484,
20033410,3717,300028,2006-03-31,1179484,
20033410,211,17049,2006-03-31,1179484,
20825C10,1132791,17938100,2006-03-31,78214,COP
22160K10,284557,5254000,2006-03-31,1393231,COST
31996310,468200,10000000,2006-03-31,4962,
36473010,206580,3447600,2006-03-31,39899,
36476010,186800,10000000,2006-03-31,39911,GAP
36960410,270515,7777900,2006-03-31,40545,GE
43707610,176856,4181000,2006-03-31,354950,HD
46284610,141910,3483300,2006-03-31,1020882,
52977110,114408,2521100,2006-03-31,745448,LXKEUR
54866110,25132,390000,2006-03-31,60667,LOW
55261F10,684504,5997060,2006-03-31,36270,MTB
55261F10,62320,546000,2006-03-31,36270,MTB
55261F10,18913,165700,2006-03-31,36270,MTB
61536910,2306772,32280600,2006-03-31,1059556,DUT
