Sector,Parameter,R-squared,P-value
Communication Services_w,const,0.8120788920830613,2.7611175347076723e-05
Communication Services_w,Communication Services_logp,0.8120788920830613,0.004212407879496663
Communication Services_w,Consumer Cyclical_logp,0.8120788920830613,0.10957100799564494
Communication Services_w,Consumer Defensive_logp,0.8120788920830613,0.2724870992361043
Communication Services_w,Energy_logp,0.8120788920830613,0.060948602429555354
Communication Services_w,Financial Services_logp,0.8120788920830613,0.25324448687534895
Communication Services_w,Healthcare_logp,0.8120788920830613,1.3615608741748419e-07
Communication Services_w,Industrials_logp,0.8120788920830613,0.34379197493150826
Communication Services_w,Technology_logp,0.8120788920830613,8.473430133442707e-18
Communication Services_w,Utilities_logp,0.8120788920830613,0.08991039996940536
Consumer Cyclical_w,const,0.8683548705743871,2.012837981631288e-06
Consumer Cyclical_w,Communication Services_logp,0.8683548705743871,0.6976774759831302
Consumer Cyclical_w,Consumer Cyclical_logp,0.8683548705743871,0.023403855763252348
Consumer Cyclical_w,Consumer Defensive_logp,0.8683548705743871,0.42865038944660094
Consumer Cyclical_w,Energy_logp,0.8683548705743871,3.6925792624524367e-06
Consumer Cyclical_w,Financial Services_logp,0.8683548705743871,0.013283632439485315
Consumer Cyclical_w,Healthcare_logp,0.8683548705743871,0.03657494346604247
Consumer Cyclical_w,Industrials_logp,0.8683548705743871,0.34658753890804805
Consumer Cyclical_w,Technology_logp,0.8683548705743871,0.7660647075305185
Consumer Cyclical_w,Utilities_logp,0.8683548705743871,0.00015114104729759494
Consumer Defensive_w,const,0.8976303511235357,7.038865535216839e-06
Consumer Defensive_w,Communication Services_logp,0.8976303511235357,0.14148053780618583
Consumer Defensive_w,Consumer Cyclical_logp,0.8976303511235357,0.864293458272642
Consumer Defensive_w,Consumer Defensive_logp,0.8976303511235357,0.0031154992006691548
Consumer Defensive_w,Energy_logp,0.8976303511235357,0.27756830839913244
Consumer Defensive_w,Financial Services_logp,0.8976303511235357,0.17272396464539577
Consumer Defensive_w,Healthcare_logp,0.8976303511235357,1.4708973750007367e-07
Consumer Defensive_w,Industrials_logp,0.8976303511235357,0.0386201687709142
Consumer Defensive_w,Technology_logp,0.8976303511235357,0.0002273801930163255
Consumer Defensive_w,Utilities_logp,0.8976303511235357,0.6870673013331705
Energy_w,const,0.768674747122173,2.1738813897822546e-10
Energy_w,Communication Services_logp,0.768674747122173,0.4227314425857579
Energy_w,Consumer Cyclical_logp,0.768674747122173,0.0007175453388989754
Energy_w,Consumer Defensive_logp,0.768674747122173,1.1516701099563662e-05
Energy_w,Energy_logp,0.768674747122173,1.3257640243264334e-06
Energy_w,Financial Services_logp,0.768674747122173,5.785187829714129e-06
Energy_w,Healthcare_logp,0.768674747122173,0.7155460406774777
Energy_w,Industrials_logp,0.768674747122173,0.006076067811957984
Energy_w,Technology_logp,0.768674747122173,3.962912973432094e-06
Energy_w,Utilities_logp,0.768674747122173,4.7371922947675745e-08
Financial Services_w,const,0.7376745995450581,0.12063444335664794
Financial Services_w,Communication Services_logp,0.7376745995450581,0.41078477822588
Financial Services_w,Consumer Cyclical_logp,0.7376745995450581,0.03915801017523772
Financial Services_w,Consumer Defensive_logp,0.7376745995450581,0.004520695368127656
Financial Services_w,Energy_logp,0.7376745995450581,0.9349852725580303
Financial Services_w,Financial Services_logp,0.7376745995450581,0.03932946054031808
Financial Services_w,Healthcare_logp,0.7376745995450581,9.319120204922896e-05
Financial Services_w,Industrials_logp,0.7376745995450581,0.022527967253730904
Financial Services_w,Technology_logp,0.7376745995450581,1.617789407434348e-11
Financial Services_w,Utilities_logp,0.7376745995450581,0.6934375983402635
Healthcare_w,const,0.738292497877463,0.567552911041883
Healthcare_w,Communication Services_logp,0.738292497877463,0.00805869244577105
Healthcare_w,Consumer Cyclical_logp,0.738292497877463,0.0038232509093621774
Healthcare_w,Consumer Defensive_logp,0.738292497877463,0.6911632533127516
Healthcare_w,Energy_logp,0.738292497877463,0.3708359220639609
Healthcare_w,Financial Services_logp,0.738292497877463,0.0003926003514066775
Healthcare_w,Healthcare_logp,0.738292497877463,0.052596110661375206
Healthcare_w,Industrials_logp,0.738292497877463,0.06254288094376946
Healthcare_w,Technology_logp,0.738292497877463,0.024562861318934582
Healthcare_w,Utilities_logp,0.738292497877463,6.608861113053755e-06
Industrials_w,const,0.8994387130970456,1.8262941045303686e-05
Industrials_w,Communication Services_logp,0.8994387130970456,0.005375430821618367
Industrials_w,Consumer Cyclical_logp,0.8994387130970456,0.07617016289644869
Industrials_w,Consumer Defensive_logp,0.8994387130970456,0.1187681592645447
Industrials_w,Energy_logp,0.8994387130970456,0.014212407775165761
Industrials_w,Financial Services_logp,0.8994387130970456,0.0023947815284886503
Industrials_w,Healthcare_logp,0.8994387130970456,0.682983207507264
Industrials_w,Industrials_logp,0.8994387130970456,0.11404899937740544
Industrials_w,Technology_logp,0.8994387130970456,0.0470060785569355
Industrials_w,Utilities_logp,0.8994387130970456,0.3428980474368052
Technology_w,const,0.9229079651342721,0.22198856043761034
Technology_w,Communication Services_logp,0.9229079651342721,0.10839539895347246
Technology_w,Consumer Cyclical_logp,0.9229079651342721,0.9744234690396439
Technology_w,Consumer Defensive_logp,0.9229079651342721,0.08682963065598255
Technology_w,Energy_logp,0.9229079651342721,0.11096883248205396
Technology_w,Financial Services_logp,0.9229079651342721,0.38322972285786694
Technology_w,Healthcare_logp,0.9229079651342721,0.005358437964428443
Technology_w,Industrials_logp,0.9229079651342721,0.787833715715518
Technology_w,Technology_logp,0.9229079651342721,3.642604605934232e-05
Technology_w,Utilities_logp,0.9229079651342721,0.22902352028236653
