filedFor,year_quarter,Basic Materials_w,Communication Services_w,Consumer Cyclical_w,Consumer Defensive_w,Energy_w,Financial Services_w,Healthcare_w,Industrials_w,Real Estate_w,Technology_w,Basic Materials_logp,Communication Services_logp,Consumer Cyclical_logp,Consumer Defensive_logp,Energy_logp,Financial Services_logp,Healthcare_logp,Industrials_logp,Real Estate_logp,Technology_logp,portfolio_value
2013-06-30,2013Q2,0.4460248190427928,4.224125271288404,1.510196508618797,28.471125892597776,4.1646897965980525,41.80317104689769,2.082054790728499,1.990960154434824,,15.307651719793164,5.494911570093249,5.060757946070432,6.109758587704272,6.022939009768135,6.366058008335406,5.57340794749295,6.316442360202912,5.922221618201355,,6.202009043066795,88226928906
2013-09-30,2013Q3,0.5351456839946656,4.272260690243093,1.578051475604808,26.72703492276832,7.297933102440755,41.081047300162645,1.993601740498209,2.0673746598779745,,14.447550424409531,5.579767597973324,5.005957724985585,6.174410883255348,6.016742330487587,6.404997002076008,5.592366607183647,6.373353952016081,5.993213048106364,,6.25240473992357,91175733000
2013-12-31,2013Q4,0.950532799906416,4.283301327289504,1.5693356197302812,25.35086501754401,7.436295106171631,42.890639415085154,2.2467869345917175,2.3772343581478275,,12.895009421533462,5.675520215166035,5.046774368184228,6.27306562193818,6.092711603092653,6.479538272603098,5.685991792986634,6.46505546525856,6.114699342557135,,6.3724319902563655,104171471000
2014-03-31,2014Q1,1.0860653363234325,4.998200715858795,0.9823617639761986,24.62726810597094,5.935619857239604,44.383077858705555,2.494764114543572,2.3757971176938844,,13.11684512968802,5.698267314425659,5.039481864700525,6.240977324907824,6.0911289006059155,6.481424015585851,5.70730957232299,6.517686058276568,6.110779747159483,,6.3908444869971195,105114026000
2014-06-30,2014Q2,1.1016396185541966,4.8224255998281675,1.121626289544559,24.483191983102525,5.0443985803051365,46.03435058145229,2.58268943738468,2.290601865129513,,12.519076044698934,5.747607961985301,5.064176061024286,6.27180094227923,6.1297688767518075,6.589792683950394,5.7255765339163975,6.55751674758687,6.143348342389071,,6.449617012236727,106671091000
2014-09-30,2014Q3,1.0029840005474977,5.666645472970113,1.1951622781355529,25.025388439796085,4.578563224052674,44.92169156343604,2.636376812880628,1.788073950175883,,13.185114258005523,5.744828467524453,5.082211522889036,6.270799424232006,6.14218794764075,6.493829461489981,5.743932270645387,6.606596160377571,6.127109297973546,,6.492118589655634,106897617451
2014-12-31,2014Q4,1.0063598261698707,6.160060703170128,1.623149382659634,25.464493497207652,0.751754936661195,46.979087409060085,2.7242355356528294,3.2242101523233,,12.066648557095304,5.721229384261287,5.027492431167646,6.350449321333605,6.213767718546452,6.374326154788642,5.809103011487541,6.674523475316722,6.187175237280255,,6.539513716313432,108476707000
2015-03-31,2015Q1,0.9797612225649448,6.362580786240707,1.7515045112639835,24.76287653779277,0.6476663938600147,46.08696010516255,2.9801675017851985,3.595428089561207,,12.833054851768628,5.725250413132147,5.029980252467408,6.393356588327912,6.217264540099178,6.338169977270297,5.783671361906233,6.734270538821864,6.1730775272168215,,6.541203137327885,106286509000
2015-06-30,2015Q2,1.6408430808837398,6.649929304602164,1.5877193400925578,23.357446839898127,0.0022490629569368,47.27353196181367,2.911069316207467,3.657497779878182,,12.919713313667156,5.715447469990314,5.033505116141021,6.40887473117027,6.192914461882405,6.311934399671809,5.795875370735164,6.758315156553115,6.144979300027695,,6.5392968788577495,106376168467
2015-09-30,2015Q3,1.2862695186818915,5.012870138596929,1.427063084284952,37.32386783636046,3.737252369175739,36.51759306536793,2.2306365539463324,2.447372677938832,,10.017074755646927,5.525054429045889,4.950106518313071,6.37905416150384,6.183963314259628,6.112198749500987,5.721393114938085,6.641260492467795,6.067916196441171,,6.497604190486707,126420550000
2015-12-31,2015Q4,1.1984452501414085,4.765024162633832,1.5397424052791526,37.65159899614215,4.144302847001049,36.52879827704933,2.0792170794855744,2.70800470076183,,9.384866281505664,5.61181342742458,5.010035138452943,6.43136331898431,6.2507856915755315,6.105774898729614,5.7737127186297235,6.72530969105914,6.138871105196944,,6.581304630730908,130914950000
2016-03-31,2016Q1,1.2923033626650564,4.126001468852729,1.4886178179218172,38.17619681488448,5.4992252180836045,33.720940759594086,2.245937541770857,2.0682108607328535,,11.382566155494516,5.641233076332052,5.150687067230235,6.443240561964264,6.298140091560785,6.136451951341516,5.716073270605298,6.664217644368194,6.1813408585939404,,6.602750694563431,127578481000
2016-06-30,2016Q2,1.2955582506578665,4.07284473823228,1.369827057385176,39.30055879462355,5.233543246326696,32.82508752045611,2.343687741700366,1.9977013668578565,,11.5611912837601,5.672016555091186,5.207516998879711,6.430380506518972,6.336808014590168,6.23908608241747,5.731365263241644,6.720762845255303,6.18931082307967,,6.569537489007001,128923574000
2016-09-30,2016Q3,1.296329010852902,4.509851272888415,1.5272919666121842,37.14100765524511,5.412221875901391,32.87284634405501,2.0108118176172667,3.0725218752522827,,12.157118181575427,5.703349031123749,5.13920440562525,6.455135702830883,6.303607457781574,6.254501615165327,5.770880241018378,6.725981545738269,6.224300960721666,,6.686759383182858,128637945000
2016-12-31,2016Q4,1.763455038345604,3.8797969887080015,1.4504531962291525,31.06043273687472,4.716596051018876,34.268632957341524,1.7003597679169358,6.878426909735076,,14.281846353830108,5.743515888606315,5.173943915164208,6.473612891293051,6.276248633252147,6.318066806790422,5.957209481520768,6.6807417152513935,6.287988676834196,,6.694500190526903,147827245000
