cik,filedFor,ticker,no_shares,value,nameOfIssuer
1067983,2013-09-30,PG,1560000,117920000,PROCTER & GAMBLE CO
1067983,2013-09-30,PG,6240000,471682000,PROCTER & GAMBLE CO
1067983,2013-09-30,PG,6240000,471682000,PROCTER & GAMBLE CO
1067983,2013-09-30,PG,17377678,1313579000,PROCTER & GAMBLE CO
1067983,2013-09-30,PG,780000,58960000,PROCTER & GAMBLE CO
1067983,2013-09-30,STRZA,2622340,73766000,STARZ
1067983,2013-09-30,STRZA,3000000,84390000,STARZ
1067983,2013-09-30,GL,116326,8416000,TORCHMARK CORP
1067983,2013-09-30,GL,674592,48807000,TORCHMARK CORP
1067983,2013-09-30,GL,959550,69423000,TORCHMARK CORP
1067983,2013-09-30,GL,2485350,179815000,TORCHMARK CORP
1067983,2013-09-30,USB,590275,21592000,US BANCORP DEL
1067983,2013-09-30,USB,3070000,112301000,US BANCORP DEL
1067983,2013-09-30,USB,23307300,852581000,US BANCORP DEL
1067983,2013-09-30,USB,12679300,463809000,US BANCORP DEL
1067983,2013-09-30,USB,4204800,153812000,US BANCORP DEL
1067983,2013-09-30,USB,3050000,111569000,US BANCORP DEL
1067983,2013-09-30,USB,30470826,1114623000,US BANCORP DEL
1067983,2013-09-30,USB,1745000,63832000,US BANCORP DEL
1067983,2013-09-30,USG,17072192,487923000,U S G CORP
1067983,2013-09-30,UPS,59400,5427000,UNITED PARCEL SERVICE INC
1067983,2013-09-30,VRSN,4522000,230125000,VERISIGN INC
1067983,2013-09-30,VRSN,6439520,327707000,VERISIGN INC
1067983,2013-09-30,VRSK,1563434,101561000,VERISK ANALYTICS INC
1067983,2013-09-30,VIAB,3954000,330475000,VIACOM INC NEW
1067983,2013-09-30,VIAB,3653200,305334000,VIACOM INC NEW
1067983,2013-09-30,V,1555459,297248000,VISA INC
1067983,2013-09-30,WBC,2433632,205058000,WABCO HLDGS INC
1067983,2013-09-30,WBC,1642693,138413000,WABCO HLDGS INC
1067983,2013-09-30,WMT,290000,21448000,WAL MART STORES INC
1067983,2013-09-30,WMT,170000,12573000,WAL MART STORES INC
1067983,2013-09-30,WMT,29500,2182000,WAL MART STORES INC
1067983,2013-09-30,WMT,4200000,310632000,WAL MART STORES INC
1067983,2013-09-30,WMT,1533840,113443000,WAL MART STORES INC
1067983,2013-09-30,WMT,256000,18934000,WAL MART STORES INC
1067983,2013-09-30,WMT,946000,69966000,WAL MART STORES INC
1067983,2013-09-30,WMT,1789000,132314000,WAL MART STORES INC
1067983,2013-09-30,WMT,849000,62792000,WAL MART STORES INC
1067983,2013-09-30,WMT,38672895,2860247000,WAL MART STORES INC
1067983,2013-09-30,WMT,511000,37794000,WAL MART STORES INC
1067983,2013-09-30,GHC,148311,90670000,WASHINGTON POST CO
1067983,2013-09-30,GHC,648165,396256000,WASHINGTON POST CO
1067983,2013-09-30,GHC,894304,546733000,WASHINGTON POST CO
1067983,2013-09-30,GHC,36985,22611000,WASHINGTON POST CO
1067983,2013-09-30,WFC,6699470,276822000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,16000000,661120000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,5303500,219141000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,6812857,281507000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,74853819,3092960000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,820000,33882000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,1700000,70244000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,36069200,1490379000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,10267000,424232000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,56018270,2314675000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,242189787,10007282000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,2788000,115200000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,1609720,66514000,WELLS FARGO & CO NEW
1067983,2013-09-30,WFC,2000000,82640000,WELLS FARGO & CO NEW
1067983,2013-06-30,AXP,1952142,145942000,AMERICAN EXPRESS CO
1067983,2013-06-30,AXP,17225400,1287771000,AMERICAN EXPRESS CO
1067983,2013-06-30,AXP,839832,62786000,AMERICAN EXPRESS CO
1067983,2013-06-30,AXP,1943100,145266000,AMERICAN EXPRESS CO
1067983,2013-06-30,AXP,7994634,597679000,AMERICAN EXPRESS CO
1067983,2013-06-30,AXP,120255879,8990330000,AMERICAN EXPRESS CO
1067983,2013-06-30,AXP,1399713,104643000,AMERICAN EXPRESS CO
1067983,2013-06-30,BK,8041300,225558000,BANK OF NEW YORK MELLON CORP
1067983,2013-06-30,BK,1793915,50319000,BANK OF NEW YORK MELLON CORP
1067983,2013-06-30,BK,8611200,241544000,BANK OF NEW YORK MELLON CORP
1067983,2013-06-30,BK,541214,15181000,BANK OF NEW YORK MELLON CORP
1067983,2013-06-30,BK,5656400,158662000,BANK OF NEW YORK MELLON CORP
1067983,2013-06-30,CBI,4817400,287406000,CHICAGO BRIDGE & IRON CO N V
1067983,2013-06-30,CBI,4733355,282392000,CHICAGO BRIDGE & IRON CO N V
1067983,2013-06-30,KO,800000,32088000,COCA COLA CO
1067983,2013-06-30,KO,80283200,3220159000,COCA COLA CO
1067983,2013-06-30,KO,1824000,73161000,COCA COLA CO
1067983,2013-06-30,KO,14411200,578033000,COCA COLA CO
1067983,2013-06-30,KO,18278400,733147000,COCA COLA CO
1067983,2013-06-30,KO,279891200,11226436000,COCA COLA CO
1067983,2013-06-30,KO,3552000,142471000,COCA COLA CO
1067983,2013-06-30,KO,960000,38506000,COCA COLA CO
1067983,2013-06-30,COP,1014974,61406000,CONOCOPHILLIPS
1067983,2013-06-30,COP,1999300,120958000,CONOCOPHILLIPS
1067983,2013-06-30,COP,21109637,1277133000,CONOCOPHILLIPS
1067983,2013-06-30,COST,4333363,479140000,COSTCO WHSL CORP NEW
1067983,2013-06-30,DVA,8973906,1084048000,DAVITA HEALTHCARE PARTNERS I
1067983,2013-06-30,DVA,6000000,724800000,DAVITA HEALTHCARE PARTNERS I
1067983,2013-06-30,DE,1666300,135387000,DEERE & CO
1067983,2013-06-30,DE,2312467,187888000,DEERE & CO
1067983,2013-06-30,DISH,547312,23272000,DISH NETWORK CORP
1067983,2013-06-30,DTV1,14275800,879960000,DIRECTV
1067983,2013-06-30,DTV1,22999600,1417695000,DIRECTV
1067983,2013-06-30,GE,588900,13657000,GENERAL ELECTRIC CO
1067983,2013-06-30,GM,18295000,609406000,GENERAL MTRS CO
1067983,2013-06-30,GM,21705000,722994000,GENERAL MTRS CO
1067983,2013-06-30,IBM,84480,16145000,INTERNATIONAL BUSINESS MACHS
1067983,2013-06-30,IBM,597588,114205000,INTERNATIONAL BUSINESS MACHS
1067983,2013-06-30,IBM,474800,90739000,INTERNATIONAL BUSINESS MACHS
1067983,2013-06-30,IBM,66965116,12797703000,INTERNATIONAL BUSINESS MACHS
1067983,2013-06-30,JNJ,327100,28085000,JOHNSON & JOHNSON
1067983,2013-06-30,KRFT,192666,10764000,KRAFT FOODS GROUP INC
1067983,2013-06-30,LEE,88863,181000,LEE ENTERPRISES INC
1067983,2013-06-30,FWONA,2622340,332408000,LIBERTY MEDIA CORP DELAWARE
1067983,2013-06-30,FWONA,3000000,380280000,LIBERTY MEDIA CORP DELAWARE
1067983,2013-06-30,MTB,546000,61016000,M & T BK CORP
1067983,2013-06-30,MTB,164795,18416000,M & T BK CORP
1067983,2013-06-30,MTB,4671245,522012000,M & T BK CORP
1067983,2013-06-30,MA,405000,232673000,MASTERCARD INC
1067983,2013-06-30,MEG1,4646220,51248000,MEDIA GEN INC
1067983,2013-06-30,MDLZ,578000,16490000,MONDELEZ INTL INC
1067983,2013-06-30,MCO,12226328,744950000,MOODYS CORP
1067983,2013-06-30,MCO,12695850,773558000,MOODYS CORP
1067983,2013-06-30,NOV,4216500,290517000,NATIONAL OILWELL VARCO INC
1067983,2013-06-30,NOV,4663500,321315000,NATIONAL OILWELL VARCO INC
1067983,2013-06-30,PSX,6495800,382668000,PHILLIPS 66
1067983,2013-06-30,PSX,9113650,536885000,PHILLIPS 66
1067983,2013-06-30,PSX,999650,58889000,PHILLIPS 66
1067983,2013-06-30,PSX,10554818,621784000,PHILLIPS 66
1067983,2013-06-30,PCP,1184735,267762000,PRECISION CASTPARTS CORP
1067983,2013-06-30,PCP,792601,179136000,PRECISION CASTPARTS CORP
1067983,2013-06-30,PG,315400,24283000,PROCTER & GAMBLE CO
1067983,2013-06-30,PG,20280000,1561357000,PROCTER & GAMBLE CO
1067983,2013-06-30,PG,1560000,120104000,PROCTER & GAMBLE CO
1067983,2013-06-30,PG,6240000,480418000,PROCTER & GAMBLE CO
1067983,2013-06-30,PG,6240000,480418000,PROCTER & GAMBLE CO
1067983,2013-06-30,PG,17377678,1337907000,PROCTER & GAMBLE CO
1067983,2013-06-30,PG,780000,60052000,PROCTER & GAMBLE CO
1067983,2013-06-30,STRZA,2622340,57954000,STARZ
